epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.0305,0.81942,4.43777,0.69621,0.65843,1.21126,0.8958,0.91209,0.95503,0.68009,0.80743,0.7833,0.76054,0.23934,0.87893,3.78215,0.55069,0.69313,1.37717,0.000655556,0.000655556,0.000655556
2,67.4479,0.71871,2.62446,0.61501,0.54245,1.1263,0.87355,0.94505,0.93814,0.67493,0.846,0.91209,0.89551,0.45754,0.70424,2.34022,0.38712,1.40087,1.19809,0.00130041,0.00130041,0.00130041
3,87.3929,0.73675,1.98564,0.56995,0.54002,1.11785,0.90767,0.9723,0.98609,0.86071,0.95859,0.89011,0.96078,0.65835,0.53734,1.58691,0.27543,0.7004,1.0143,0.00192326,0.00192326,0.00192326
4,105.085,0.71613,1.662,0.53927,0.51877,1.13681,0.79048,0.63736,0.72713,0.44242,0.86343,0.69478,0.7943,0.44203,1.30938,2.1083,0.2635,1.77145,1.72013,0.001901,0.001901,0.001901
5,122.847,0.74387,1.4033,0.49581,0.56395,1.14435,1,0.95414,0.991,0.8477,0.99212,0.94505,0.9508,0.74948,0.5889,1.13722,0.2312,0.75938,1.0894,0.001868,0.001868,0.001868
6,141.889,0.70915,1.24039,0.46815,0.51722,1.11824,0.99112,0.96703,0.99414,0.84837,0.98105,0.95604,0.98173,0.74781,0.55422,1.03741,0.22228,0.73676,0.9878,0.001835,0.001835,0.001835
7,159.872,0.69137,1.03624,0.46564,0.49141,1.10625,0.99466,0.98901,0.99478,0.85803,0.99466,0.98901,0.99478,0.81931,0.57678,0.71337,0.28069,0.41168,1.02697,0.001802,0.001802,0.001802
8,177.547,0.65719,0.93736,0.42353,0.47269,1.08328,0.98344,1,0.99467,0.8918,0.98344,1,0.99467,0.81773,0.5029,0.64183,0.22626,0.41299,0.94859,0.001769,0.001769,0.001769
9,196.781,0.629,0.91873,0.4122,0.45543,1.08217,0.98904,0.99144,0.99489,0.93153,0.97809,0.98113,0.984,0.91918,0.41812,0.55839,0.24339,0.30604,0.94728,0.001736,0.001736,0.001736
10,214.612,0.61224,0.81769,0.38317,0.44121,1.06151,0.97785,0.97022,0.99414,0.89624,0.96683,0.96096,0.98359,0.93535,0.46868,0.49319,0.21512,0.35374,0.94019,0.001703,0.001703,0.001703
11,232.466,0.61673,0.80929,0.36988,0.45621,1.06306,1,0.98369,0.99468,0.90742,1,0.98369,0.99468,0.9129,0.43353,0.60794,0.18281,0.31644,0.91329,0.00167,0.00167,0.00167
12,251.742,0.58691,0.76181,0.33824,0.43198,1.05022,0.98772,1,0.99489,0.91382,0.98864,0.95629,0.98792,0.94348,0.43349,0.55617,0.20512,0.34571,0.90972,0.001637,0.001637,0.001637
13,269.447,0.60223,0.75516,0.32831,0.44366,1.06992,0.99925,1,0.995,0.87433,0.99925,1,0.995,0.87941,0.48918,0.60711,0.1711,0.32237,0.92783,0.001604,0.001604,0.001604
14,287.71,0.60197,0.69938,0.31132,0.44071,1.06782,0.96874,0.97802,0.99414,0.91959,0.96118,1,0.99404,0.94541,0.41312,0.37591,0.1612,0.29429,0.90833,0.001571,0.001571,0.001571
15,306.834,0.60641,0.63288,0.30136,0.43706,1.06671,0.98727,1,0.995,0.91499,0.98727,1,0.995,0.93847,0.4264,0.36691,0.17658,0.31051,0.91984,0.001538,0.001538,0.001538
16,324.481,0.55185,0.5893,0.27768,0.39712,1.04664,0.99808,1,0.995,0.9411,0.99808,1,0.995,0.95605,0.37166,0.31182,0.14473,0.27695,0.8719,0.001505,0.001505,0.001505
17,343.243,0.5416,0.6192,0.27227,0.38919,1.03379,0.98807,1,0.99359,0.92559,0.98807,1,0.99359,0.92551,0.39878,0.44368,0.14221,0.27192,0.90193,0.001472,0.001472,0.001472
18,361.375,0.54334,0.6287,0.26352,0.39673,1.03791,0.9993,1,0.995,0.94356,0.9993,1,0.995,0.94727,0.36397,0.35389,0.14499,0.2621,0.87939,0.001439,0.001439,0.001439
19,379.076,0.52047,0.61175,0.25649,0.3822,1.01624,0.99925,1,0.995,0.94042,0.99925,1,0.995,0.93997,0.38583,0.36628,0.13209,0.26138,0.86626,0.001406,0.001406,0.001406
20,398.095,0.5376,0.49503,0.24462,0.38893,1.02456,0.99901,1,0.995,0.92561,0.99901,1,0.995,0.96909,0.37946,0.29489,0.1228,0.26705,0.86914,0.001373,0.001373,0.001373
21,416.387,0.53297,0.44529,0.22365,0.38563,1.01824,0.99534,1,0.995,0.93698,0.99534,1,0.995,0.96148,0.33848,0.28417,0.14157,0.2707,0.85402,0.00134,0.00134,0.00134
22,434.01,0.5112,0.50616,0.24668,0.36821,1.00538,0.99014,1,0.995,0.94722,0.99483,0.96703,0.99096,0.96571,0.35909,0.36627,0.10482,0.24351,0.85386,0.001307,0.001307,0.001307
23,452.452,0.51503,0.44966,0.22594,0.37313,1.01495,0.99868,1,0.995,0.94392,0.99868,1,0.995,0.94089,0.36198,0.33036,0.09886,0.24827,0.84637,0.001274,0.001274,0.001274
