epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5274,0.93555,5.43588,0.70419,0.76406,1.3057,0.74137,0.85185,0.86488,0.59342,0.251,0.55556,0.28105,0.08444,1.0159,6.56321,0.64115,0.91622,1.57215,0.00065641,0.00065641,0.00065641
2,67.9641,0.85792,3.59822,0.65762,0.62575,1.21073,0.85519,0.92593,0.96501,0.69513,0.51338,0.62963,0.44361,0.11883,0.9932,4.42193,0.3852,1.06924,1.77409,0.00130125,0.00130125,0.00130125
3,88.2765,0.91585,2.44601,0.60816,0.67339,1.24188,0.75621,1,0.90163,0.69839,0.41734,0.55713,0.34841,0.18832,0.88616,4.48044,0.25436,1.28936,1.44497,0.00192408,0.00192408,0.00192408
4,107.228,0.92703,2.0286,0.58414,0.6805,1.25754,0.82102,0.85185,0.93366,0.69757,0.66625,0.7037,0.67685,0.37199,0.91744,3.10623,0.29743,1.30658,1.45468,0.001901,0.001901,0.001901
5,127.004,0.85373,1.75635,0.54435,0.63298,1.21329,0.9812,0.96296,0.98689,0.81079,0.66178,0.74074,0.7095,0.49468,0.72761,2.62386,0.30935,0.72514,1.22941,0.001868,0.001868,0.001868
6,145.686,0.83936,1.4745,0.50837,0.61562,1.19986,0.9261,1,0.96607,0.78845,0.85662,0.92593,0.86996,0.50845,0.74395,1.7675,0.33607,0.88478,1.2339,0.001835,0.001835,0.001835
7,165.534,0.79905,1.33012,0.4826,0.57171,1.17806,0.89831,0.98183,0.9812,0.69461,0.89831,0.98183,0.9812,0.76683,0.91057,1.67527,0.22804,0.64049,1.35129,0.001802,0.001802,0.001802
8,184.386,0.7658,1.21763,0.43978,0.56308,1.16083,0.96357,0.96296,0.99393,0.8296,0.96357,0.96296,0.99393,0.65461,0.6414,1.38004,0.33364,0.57023,1.09358,0.001769,0.001769,0.001769
9,202.555,0.73957,1.17392,0.42452,0.54315,1.14043,0.98024,1,0.995,0.80985,0.92034,0.92593,0.94408,0.80277,0.6749,1.00043,0.24117,0.52629,1.14091,0.001736,0.001736,0.001736
10,222.395,0.76963,1.10524,0.40644,0.55416,1.15523,0.94338,0.96296,0.98385,0.82121,0.75532,0.77778,0.75144,0.62496,0.66744,2.15685,0.39743,0.63217,1.10123,0.001703,0.001703,0.001703
